26.28,45.25
-3.37,66.10
-6.12,26.95
65.03,58.25
40.63,54.70
56.89,61.03
-5.46,13.84
17.73,78.58
81.26,78.32
11.60,76.64
-14.84,41.07
59.23,81.21
-5.67,78.64
-19.28,5.06
69.40,-6.24
32.06,-7.82
-14.85,69.01
39.54,41.72
-3.67,28.75
29.13,76.15
75.05,22.14
42.06,32.61
16.40,-9.93
39.91,9.03
82.19,75.98
30.79,21.85
36.46,50.41
-7.94,4.96
18.42,64.22
38.17,41.99
-16.68,12.44
25.40,42.66
76.70,-13.02
-14.60,-5.14
62.09,-17.68
22.14,59.31
71.68,-14.68
2.74,44.36
45.22,77.93
-4.67,-0.48
72.03,17.51
-9.90,25.05
47.54,77.59
75.71,-17.76
10.02,27.70
32.08,30.02
54.72,53.68
40.50,-13.14
21.01,-4.05
44.81,35.77
-19.29,29.27
15.78,-19.63
24.83,-4.82
56.00,31.00
0.92,31.78
12.47,39.59
28.61,-17.89
79.55,28.28
17.96,32.62
50.70,31.33
70.62,9.42
2.26,-7.37
81.25,77.27
6.44,61.73
63.55,9.66
4.68,-19.34
33.57,39.51
53.93,26.70
52.87,59.41
64.54,21.65
61.52,34.11
-9.08,53.17
-5.01,6.86
65.57,77.47
26.40,69.16
70.59,-5.00
38.76,49.16
26.73,38.20
80.29,-11.13
13.54,68.34
45.29,73.69
14.75,40.84
34.12,10.84
34.76,-2.41
60.21,63.82
0.88,74.54
2.13,1.13
-5.76,67.98
-5.40,14.61
3.45,24.94
73.19,11.49
-15.88,-10.74
40.29,-7.34
3.91,-19.20
16.21,55.20
42.50,9.44
77.55,31.08
-18.59,-6.96
59.62,-14.06
32.04,19.95
29.38,12.56
-20.27,28.98
68.99,0.51
2.22,73.84
8.65,34.26
-10.49,72.85
-19.69,-9.79
56.54,8.68
-12.30,37.08
77.84,80.08
7.22,-8.80
-17.08,47.84
20.86,81.45
50.51,78.90
61.15,-0.34
19.62,23.65
50.11,34.92
81.47,54.53
-17.31,19.00
49.47,14.63
6.24,62.51
-10.06,9.28
73.12,44.41
45.79,11.53
-14.34,-6.13
8.74,-20.37
11.98,50.10
42.62,15.90
-14.78,52.96
25.43,-12.65
16.27,-19.47
-14.11,-12.93
16.49,28.53
-6.15,55.07
-15.70,62.85
52.94,-8.90
-19.81,13.16
22.85,36.66
36.33,46.05
55.10,12.17
65.55,14.83
82.20,11.31
64.24,74.02
41.06,20.43
47.88,1.30
58.72,28.08
64.89,-13.33
51.38,33.49
41.66,52.70
-15.84,81.01
77.62,27.92
7.72,44.62
